Emotion,Sentence,Sentence_cleaned
Sadness,có đủ mọi gia vị :< em thấy vị đắng của sự chua sót quá nhiều :),có đủ mọi gia vị em thấy vị đắng của sự chua sót quá nhiều
Anger,thằng chó chết mày quá dã ư,thằng chó chết mày quá dã ư
Sadness,có duyên nhưng không có phận ... người ở lại vẫn luôn là người đau nhất !,có duyên nhưng không có phận người ở lại vẫn luôn là người đau nhất
Other,per hôm nay c cũng bị giống thằng này này,per hôm nay c cũng bị giống thằng này này
Enjoyment,mua thêm vài trăm con cá xấu thả chắc vui hơn,mua thêm vài trăm con cá xấu thả chắc vui hơn
Sadness,:( cầu chúa ơn nhiều ban bình an cho những người kém may mắn như vậy,cầu chúa ơn nhiều ban bình an cho những người kém may mắn như vậy
Disgust,đéo hề dễ thương khi nó cười với đứa khác :)),đéo hề dễ thương khi nó cười với đứa khác
Other,dài quá vướn víu,dài quá vướn víu
Fear,nhiều lúc sợ bị pê đi,nhiều lúc sợ bị pê đi
Sadness,"trượt rồi , còn đâu mà rủ 😞",trượt rồi còn đâu mà rủ 😞
Disgust,hình như đây là 3 đứa ranh con củ lồn đó ((:,hình như đây là 3 đứa ranh con củ lồn đó
Disgust,"kiến đỏ thì được , nhưng đây thì lại mấy con kiến hay bò qua cứt .... mấy ổng ăn ngon vãi 😐",kiến đỏ thì được nhưng đây thì lại mấy con kiến hay bò qua cứt mấy ổng ăn ngon vãi 😐
Enjoyment,azz :3 mặt cưng xĩu,azz 3 mặt cưng xĩu
Fear,"lâu lắm đéo được gặp nhện trong wc , quên mất cảm giác nhịn ỉa như nào rồi 😂",lâu lắm đéo được gặp nhện trong wc quên mất cảm giác nhịn ỉa như nào rồi 😂
Anger,cái thứ bán hàng đéo có tâm . rồi mày sẽ ế bánh cho mà xem,cái thứ bán hàng đéo có tâm rồi mày sẽ ế bánh cho mà xem
Disgust,ko biết đúng sai như thế nào giờ báo đài ai cũng bênh ông vũ tự nhiên cảm thấy táo xàm vì tiền bất chấp .,không bt đúng sai như thế nào giờ báo đài ai cũng bênh ông vũ tự nhiên cảm thấy táo xàm vì tiền bất chấp
Enjoyment,gặp tao cũng thế :))),gặp tao cũng thế
Enjoyment,"cái quá phơi lúa xong mưa , tao đang cười vì bà béo thì phải ngậm mồm .",cái quá phơi lúa xong mưa tao đang cười vì bà béo thì phải ngậm mồm
Disgust,chụp xong về chia tay ráng chịu :))),chụp xong về chia tay ráng chịu
Enjoyment,"per huyền thoại , kkkk",per huyền thoại không
Enjoyment,3 chàng ngốc . top 1imdb phim đáng xem nhất mọi thời đại,3 chàng ngốc top 1imdb phim đáng xem nhất mọi thời đại
Disgust,giống con nít quá ba :))),giống con nít quá ba
Disgust,đúng là thằng admin khùng,đúng là thằng admin khùng
Enjoyment,"ngày xưa toàn bị mẹ đánh bằng dây điện , vụt phát nào ứa máu phát đấy . giờ nghĩ lại tự nhiên lại thấy hay , vì ngày xưa mẹ nghiêm khắc như thế giờ mình mới ngoan 🙂",ngày xưa toàn bị mẹ đánh bằng dây điện vụt phát nào ứa máu phát đấy giờ nghĩ lại tự nhiên lại thấy hay vì ngày xưa mẹ nghiêm khắc như thế giờ mình mới ngoan 🙂
Anger,thằng dăm này phải cho vào tù nó mới biết thế nào là dâm rê,thằng dăm này phải cho vào tù nó mới bt thế nào là dâm rê
Surprise,per cú này hoành tráng hơn bệnh nhân của anh luôn nè,per cú này hoành tráng hơn bệnh nhân của anh luôn nè
Surprise,cái này đẹp tía,cái này đẹp tía
Enjoyment,nào tao cũng phải thử =)))),nào tao cũng phải thử
Disgust,ngu thì chết . chẳng biết nó nghĩ sao mà lao vô cướp ngân hàng ... có thằng nào thoát bao giờ đâu . không biết nó có hiểu không 😅😅😅,ngu thì chết chẳng bt nó nghĩ sao mà lao vô cướp ngân hàng có thằng nào thoát bao giờ đâu không bt nó có hiểu không 😅
Other,này 2 đứa . đã chia tay chưa . chia tay rồi có xem lại video này không .,này 2 đứa đã chia tay chưa chia tay rồi có xem lại video này không
Other,cho hết vào trường giáo dưỡng,cho hết vào trường giáo dưỡng
Other,cao su không thu mà đồi cao su đắt vậy,cao su không thu mà đồi cao su đắt vậy
Enjoyment,per gặp thần tượng mỗi ngày kkk,per gặp thần tượng mỗi ngày không
Other,lâu lắm không nghe bài này .. có bà bạn bình luận dạo mới nghe lại ??,lâu lắm không nghe bài này có bà bạn bình luận dạo mới nghe lại
Anger,con mèo mặt lol dám đập con thỏ của tao sao 😡😡😡. dkm mày,con mèo mặt lol dám đập con thỏ của tao sao 😡 dkm mày
Enjoyment,sau nay em cung uoc duoc nhu vay ❤,sau nay em cung uoc duoc nhu vay ❤
Enjoyment,ngộ nghĩnh nhỉ ! lạ lờ nhỉ !,ngộ nghĩnh nhỉ lạ lờ nhỉ
Sadness,một năm đầy biến động và thăng trầm của nước pháp ☹️,một năm đầy biến động và thăng trầm của nước pháp ☹️
Disgust,"dm gì cũng bắt phải làm , phí thu vãi thì chả top1 :))) nhân với chả viên",địt mẹ gì cũng bắt phải làm phí thu vãi thì chả top1 nhân với chả viên
Enjoyment,per :)) hiểu được nỗi lòng anh chưa ! mốt đừng giận anh nhiều nữa nha,per hiểu được nỗi lòng anh chưa mốt đừng giận anh nhiều nữa nha
Surprise,việt nam có hệ thống bật tường sắt như nước ngoài luôn à :v,việt nam có hệ thống bật tường sắt như nước ngoài luôn à v
Disgust,nhìn mặt con mèo là thấy ghét rồi,nhìn mặt con mèo là thấy ghét rồi
Sadness,phận làm con trai haizz,phận làm con trai haizz
Disgust,chơi ngu vừa thôi mày,chơi ngu vừa thôi mày
Other,thiết kế vậy tiện . nào hư của xe thì lấy của quạt gắn vào đỡ mất tiền thay,thiết kế vậy tiện nào hư của xe thì lấy của quạt gắn vào đỡ mất tiền thay
Other,biết bao khó khăn mới được vậy,bt bao khó khăn mới được vậy
Sadness,3 giờ sáng nằm xem xong khóc miên man 😢😢,3 giờ sáng nằm xem xong khóc miên man 😢😢
Enjoyment,em mình là con trai viết đẹp y chang thế này nhé,em mình là con trai viết đẹp y chang thế này nhé
Other,hóa chó nhiều quá thì cũng có lúc phải hóa thành người chứ =)))),hóa chó nhiều quá thì cũng có lúc phải hóa thành người chứ
Anger,dm con già mà hành xử trâu chó . đời nó sẽ gặp báo ứng,địt mẹ con già mà hành xử trâu chó đời nó sẽ gặp báo ứng
Enjoyment,per má có điểm cho sướng vãi,per má có điểm cho sướng vãi
Enjoyment,cảm ơn những người thả 😡 nên mình biết là đéo hay nên mình đéo xem . may vãi,cảm ơn những người thả 😡 nên mình bt là đéo hay nên mình đéo xem may vãi
Other,đề này cũng bình thường mà đâu có khó,đề này cũng bình thường mà đâu có khó
Disgust,mắc dại thiệt chứ,mắc dại thiệt chứ
Disgust,kém sang,kém sang
Sadness,thanh xuân là để bỏ lỡ 😔,thanh xuân là để bỏ lỡ 😔
Other,tẩy được bao nhiêu mà hô hào gớm thế,tẩy được bao nhiêu mà hô hào gớm thế
Other,công khai biết sai sao vẫn làm .,công khai bt sai sao vẫn làm
Enjoyment,năm ngoái nhìn rồi năm nay ở nhà xem lại phim ác quỷ valak the nun .😄😄,năm ngoái nhìn rồi năm nay ở nhà xem lại phim ác quỷ valak the nun 😄😄
Enjoyment,đẹp trai v :((((,đẹp trai vậy
Disgust,"chủ quá vô tâm ?? thà đừng có nuôi , nhà tôi nuôi chó cỏ thôi nhưng vẫn tim thuốc định kì đấy ??",chủ quá vô tâm thà đừng có nuôi nhà tôi nuôi chó cỏ thôi nhưng vẫn tim thuốc định kì đấy
Disgust,do kiếp trước mày nghiệp nhiều quá lên giờ phải trả thôi,do kiếp trước mày nghiệp nhiều quá lên giờ phải trả thôi
Enjoyment,có tâm mới có tầm haha,có tâm mới có tầm haha
Surprise,lấy tiền tỷ mat phạt có 5tr thôi á ?,lấy tiền tỷ mat phạt có 5tr thôi á
Sadness,per nghe lại buồn vãi,per nghe lại buồn vãi
Sadness,năm nay chạnh lòng quá . haizz,năm nay chạnh lòng quá haizz
Enjoyment,"mình theo dõi mấy nick quân nhân , tập trận , pccc ... hay vãi luôn á .",mình theo dõi mấy nick quân nhân tập trận pc hay vãi luôn á
Fear,ám ảnh đến bây giờ 24 tuổi vẫn sợ ngỗng :))),ám ảnh đến bây giờ 24 tuổi vẫn sợ ngỗng
Other,"thao trường đổ mồ hôi để chiến trường đỡ đổ máu , ý thức từ bé đi 🙂",thao trường đổ mồ hôi để chiến trường đỡ đổ máu ý thức từ bé đi 🙂
Disgust,"và mấy mẹ thấy mỗi cái chi tiết : ông vũ khuyên bà thảo lui về sau . chăm lo cho gia đình .,,, là gào mồm lên , kêu đàn ông gia trưởng này nọ , vũ phu , bảo thủ nọ kia .... đúng là toàn mấy con bò ... chả ai hiểu bà thảo bằng ông vũ cả đâu , người ta khuyên vợ lui về vì thừa biết tính vợ , tầm nhìn của vợ đến đâu . còn thực vợ giỏi , có tầm thì chả thằng nào không muốn sát cánh , đồng lòng với người chăn gối , tay ấp cùng mình cả . vấn đề là cái tầm của bà thảo để mà đưa tn đi lên chỉ có vậy , vì đó là tâm trí của một con buôn .",và mấy mẹ thấy mỗi cái chi tiết ông vũ khuyên bà thảo lui về sau chăm lo cho gia đình là gào mồm lên kêu đàn ông gia trưởng này nọ vũ phu bảo thủ nọ kia đúng là toàn mấy con bò chả ai hiểu bà thảo bằng ông vũ cả đâu người ta khuyên vợ lui về vì thừa bt tính vợ tầm nhìn của vợ đến đâu còn thực vợ giỏi có tầm thì chả thằng nào không muốn sát cánh đồng lòng với người chăn gối tay ấp cùng mình cả vấn đề là cái tầm của bà thảo để mà đưa tn đi lên chỉ có vậy vì đó là tâm trí của một con buôn
Enjoyment,"ba cái đồ yêu , 1 ngày 2 lần nấu đây , ngon bá cháy bọ chét nhé , thơm mùi khói nữa …",ba cái đồ yêu 1 ngày 2 lần nấu đây ngon bá cháy bọ chét nhé thơm mùi khói nữa …
Disgust,nó sẵn sàng kiếm cớ bỏ người đang quen để theo người có tiền nhiều hơn,nó sẵn sàng kiếm cớ bỏ người đang quen để theo người có tiền nhiều hơn
Other,tại ông bố bảo thủ hết,tại ông bố bảo thủ hết
Anger,"trung thi thì liên quan mẹ gì đến việc có gấu , tao thà ngồi nhà cho khỏe để xem mấy thằng đó dắt vợ của thằng khác đi chơi !!",trung thi thì liên quan mẹ gì đến việc có gấu tao thà ngồi nhà cho khỏe để xem mấy thằng đó dắt vợ của thằng khác đi chơi
Enjoyment,:))) đồng nghiệp đáng yêu,đồng nghiệp đáng yêu
Enjoyment,chuẩn không cần chỉnh chỉ cần sửa thôi ...,chuẩn không cần chỉnh chỉ cần sửa thôi
Enjoyment,chuẩn lun,chuẩn lun
Disgust,dume hẩy kiểu đó làm sao mấy bà kia ăn dô nữa 🙂,dume hẩy kiểu đó làm sao mấy bà kia ăn dô nữa 🙂
Enjoyment,crush của tao cười hơi bị xinh :3 xinh + cười = đỗ mãi • 3 •,người mình thích của tao cười hơi bị xinh 3 xinh cười đỗ mãi • 3 •
Disgust,"trông mấy anh bên người ta vẫn men nhỉ , bên mình bạn nam dưới nhìn hơi íu đúi .",trông mấy anh bên người ta vẫn men nhỉ bên mình bạn nam dưới nhìn hơi íu đúi
Surprise,woa ... dài dữ ..😃😃,woa dài dữ 😃😃
Fear,đừng ai lấy cả hộp kẹp của anh ý nhé :(((,đừng ai lấy cả hộp kẹp của anh ý nhé
Sadness,lại mất tiền ngu,lại mất tiền ngu
Other,có người còn thả haha não gì ấy nhỉ . gạch đá xin nhận,có người còn thả haha não gì ấy nhỉ gạch đá xin nhận
Enjoyment,sau vụ 200k thì vụ 5tr này có nội dung hài hước y hịt :)))),sau vụ 200k thì vụ 5tr này có nội dung hài hước y hịt
Other,sang năm khênh hẳn giường ra nằm xem cho đỡ mỏi lưng,sang năm khênh hẳn giường ra nằm xem cho đỡ mỏi lưng
Fear,má chắc gặp tao chạy mất giày,má chắc gặp tao chạy mất giày
Sadness,thế chân ngắn như tao thì phải làm sao với cái cầu,thế chân ngắn như tao thì phải làm sao với cái cầu
Enjoyment,phim rất ư là hay lun quả xứng đáng là đạo diễn phim việt nam tài ba,phim rất ư là hay lun quả xứng đáng là đạo diễn phim việt nam tài ba
Disgust,mẹ mấy tk chê này chê nọ thử chạy 5 vòng sân bóng đá đi đã rồi hãy phán người khác .,mẹ mấy tài khoản chê này chê nọ thử chạy 5 vòng sân bóng đá đi đã rồi hãy phán người khác
Disgust,thằng biến thái,thằng biến thái
Enjoyment,ra xã hội rồi mới biết mình còn may mắn hơn rất nhiều người vậy nên hãy trân trọng những gì mình có 😊,ra xã hội rồi mới bt mình còn may mắn hơn rất nhiều người vậy nên hãy trân trọng những gì mình có 😊
Anger,đéo thấy vui đến lúc nó dừng xe đạp nó vả cho vỡ mõm lại hỏi tại sao 😌,đéo thấy vui đến lúc nó dừng xe đạp nó vả cho vỡ mõm lại hỏi tại sao 😌
Enjoyment,đầu năm chúc đại kỷ nguyên vạn sự như ý nhé,đầu năm chúc đại kỷ nguyên vạn sự như ý nhé
Other,"hồi nhỏ chỉ khi nào mẹ làm bánh tai yến thì mới dùng tới bếp dầu hôi này , không là bỏ tủ để dành",hồi nhỏ chỉ khi nào mẹ làm bánh tai yến thì mới dùng tới bếp dầu hôi này không là bỏ tủ để dành
